uno	mno	review	label
0	0	没有三星半的，上不了四星，但三星又觉得低。总体还行吧，打斗戏比较好，演技可以，总体不出戏，不过到底是演员李沁真的可以了。但还是无法想象，那一套破衣服居然十万，蒙谁呢无语	1
1	0	还好吧，剧情很清晰，也有笑点，我看得明明白白啊！为什么那么多无脑黑！！	0
2	0	我先马一个 下午看了以后改评分	0
3	0	好看，张小凡演的好，从开始的呆萌到后期的黑化拿捏到位。	0
4	0	不错。男主很棒。特效还可以	0
5	0	为了肖战看的，真的很好看，没有说的那样，那些说不好看的，麻烦你看完再评价	0
6	0	脑子真是坏掉了，看这种片子	1
7	0	一上来就是一群师兄弟抢红烧肉，暗示肉价上涨啊！片子倒没有预想的那么糟糕，就是太土了，所有人一打起来都灰头土脸的。故事也过于简单随意，草草结束的感觉，而且，这实在是个老套无趣的类型啊。后面群魔乱舞那场戏倒还挺有意思的。影片是那种典型的呆小子与魔女的组合，也算经典武侠片模型了，肖战演的呆小子倒还挺呆的，但是，孟美岐的魔女就差太远了，唐艺昕也差点意思。整体而言，确实不太行。	1
8	0	这部电影拍的蛮用心，都是实力派演员，特效也非常棒，全程无尬点。当时的拍摄条件非常艰苦，零下十几二十度吹着鼓风机，呈现的效果还非常饱满，辛苦演员了。前期欢乐搞笑，后期真情感人，唯一不足是太短了，诛仙2搞快点吧	0
9	0	还是不错的，演技颜值在线，总要给新人一些进步的空间吧。	0
10	0	我觉得挺不错的，看要想看第二部，肖战演得不错，不知道为什么方面被黑很厉害	0
11	0	看上热搜了，随后在CCTV6上看诛仙，挺不错的，肖战演技在线，实时收视率也破2👍	0
12	0	看得出所有演员，制片方等等的用心，祝票房大卖	0
13	0	还可以吧，都是新人演员多点鼓励吧。	0
14	0	昨晚是第二遍了，第一遍时是程青松之流讲肖战去看的，给我气的，演的很好呀，这些文化流氓空口污蔑人。昨晚央视再播我完全放下金扫帚奖了。肖战演的非常好，整部电影的质量也很好，中间还有好几个笑点，和家人起看到结尾都意犹未尽，再拍诛仙2吧，还要追看呢！	0
15	0	"刚开始确实觉得造型很丑，肯定是个烂片，可看了觉得影片的节奏把握很好，前面铺垫的喜剧感十足，而后面魔教入侵有点悲壮"	1
16	0	看到这么多低分还是想挣扎一下，对非原著党来说，这部电影真的很可以，色调和画风我真的非常喜欢	1
17	0	好看啊，在央6看了两遍，觉得很不错啊，诙谐又搞笑，张小凡演的特别好。	0
18	0	我觉得剧情太不紧凑了，有时候转场转得很莫名其妙，上下连接起来给人一种很仓促甚至有点随便的感觉，人物镜头给人感觉只是想呈现一种唯美的画面而不是去呈现这个人所要表达的喜怒哀乐，不过我特别喜欢里面的那只猴子	1
19	0	春节期间在电影频道看的，之前没看过原著也没看过电视。jiu电影来说我觉得还不错啊。剧情也可以。有笑点，有感动！	1
20	0	emmmm虽然没有想象中难看，但是演员和爱豆有壁szd。而且电影为什么要配音啊？？？？莫名其妙的……造型也emm	1
21	0	挺可爱的，人物挺丰满，情节很有趣，我喜欢看这种带点轻喜剧风的影片	0
22	0	前几天在中央六台电影频道看了这部电影，服道化有点差强人意，剧情逻辑挺好，演员们表现还可以，值得一看！	0
23	0	不带有色眼镜看的话很可以啊，很还原原著，演员里除了碧瑶（实在非常拉胯）其他都不错 甚至有点期待2了。	1
24	0	 虽然和想象当中白衣飘飘的仙侠有点区别，但是也是一部值得一看的电影，尤其是最后小凡入魔那里感情递进演的很好  在电影院里哭的一批哈哈哈哈哈 ，后来央视重播也看了还是觉可以还不错哈哈😃我没看过小说 但是我老头子说这是他的第一部小说，他觉得还可以，每个人都有自己的仙侠梦，尊重每一个作品	1
25	0	"看完觉得还不错，值三星，但为我之前无脑的偏见多补偿一星。xz和mmq真的都不错，不出戏，之前看网上全都故意截丑的剧照来黑什么的，真的没必要。看好这两个人，诛仙1挺不错。2019.9.13  阳光天地和三三 "	1
26	0	我是抽风了来看垃圾电影 瞪眼哭戏眼药水 布景抠图 这还是电影不是电视剧吗 洗钱	1
27	0	多一颗星给请我看电影的肖战粉丝。最好的一点是笑点很融合，但剧情点的出现都很突兀，大战更是非书粉摸不着头脑。	1
28	0	没看，买了下午的票，不管怎么样，是我等了一年的🐷，孩子再丑也是自家的。当然，看了预告我觉得它不会差。三分基础分，剩下的一分给肖战孟美岐，还有一分给肖战孟美岐粉丝，粉丝确实把该做的都做了。	0
29	0	两星半，李沁很美，但这片子不值得写影评。	1
30	0	刚刚看完，剧情有点老套，不过这种爆米花电影该有的笑点，还是做到位了，演员演技算是及格吧，除了孟那个不知道算是女几的角色！剧情尚可，特效 武打设计确实没有拉胯！！我个人认为，作为消磨时间的电影算是不错！！	1
31	0	一星送给拖我来看电影的朋友，我有这个时间为什么不在视频网站直接看上海堡垒……………………	1
32	0	垃圾，被骗进电影院，特效一股巴啦啦小魔仙画风，明明是仙侠，一点也不仙气飘飘，都跟乞丐似的，包括李沁看起来也老态，碧瑶就不用说了，差了赵丽颖一百条街，就这还开第二部呢，搞笑呢吧，呕，竟然还有吻戏，醉了	1
33	0	昨晚在CCTV6看了这部电影，我很喜欢，演员的表演很不错，前面很欢乐，后面哭死人，是一部合格的商业片，跟风嘈大可不必	0
34	0	哪里来的这么多1分？看过的绝对给不了这么低，太多无脑黑了，肖战演绎的很不错了，我支持他，我给5分，就是看不惯你们这种乱打分的，有不足也不是他一个演员能决定的，不要欺负一个演员	0
35	0	大声的告诉我，全场演技在线的是不是那只狗跟猴子！！！！	1
36	0	中秋去电影院看的，我不虚评，确实还有不足，但恶意评分的真的让人很无语！整体来说并不是毫无亮点，在电影院观感还是挺好的，特效不错，有些地方演员的迸发也是挺惊喜的，可能确实不是很好的片子，但某些评论的未免过于武断，你确定你是站在公平的角度来评的吗？奉劝别太自私，做人善良点！或者你不是人那我没什么可说	1
37	0	今天诛仙在CCTV6第三次播出，收视率依然破了1.5%（首播破2%），这个收视率多少能反应出这部电影的水平，五星鼓励一下	0
38	0	我们可可爱爱的张小凡值得5⭐。肖战的眼神干净清澈，真的很招人喜欢！	0
39	0	电影实景拍摄，演员演技带入感十足，特别是主演肖战演技很有层次感	0
40	0	就是给肖战的，本质4星，补上一星给掉皮水军	0
41	0	没有将原作的宏大叙事压缩而是尽可能地详细展开，热血和梦想还有懵懂的青春元素都完成得不错。最令人担忧的美学也过关，没有美图秀秀的廉价感，演员颜值也可以令人身心愉悦！为山支大哥打call	1
42	0	前半部分有点慢，但是比武开始就精彩了，尤其是鬼族人出场的场景，程小东还是很有想象力的。对于不是书粉的我来说，依旧是部很entertaining的电影。没看过陈情令，这次来看肖战演技还真可以耶。	1
43	0	粉丝不要控评了，这片是真的烂……剧情是硬伤，节奏拖沓，转折突兀，演技尴尬，配音出戏，还有种电视剧质感，唯一能看的就是那只猴子和狗了吧	1
